"Gene","Endo.t","Endo.kME.brown"
"AC002428.2",-28.048228336383,-0.122670576674873
"AC002429.2",-52.6607973448985,-0.195175233303246
"AC002451.1",4.0975646594285,0.27068210403455
"AC002454.1",-6.47929961163747,-0.0222809658175549
"AC002456.1",2.04785994666756,0.0741290389307729
"AC002463.1",-4.27885183751223,-0.0983529706606532
"AC002467.1",-4.92937396607354,-0.0205946196017246
"AC002470.1",-13.9797699175034,-0.236941627663929
"AC002472.1",-35.0427830841766,0.0160965679698499
"AC002472.2",-40.4453242214699,-0.0948571685931445
"AC002524.1",-6.56204027276271,0.0411019233144281
"AC002545.1",-0.498716180486071,-0.0337596377092016
"AC002546.1",2.570699915357,0.198044392700053
"AC002546.2",5.88320764521447,0.0188464246032246
"AC002550.1",-4.4694221502073,-0.19840200714275
"AC002553.4",-17.0806107886232,-0.00836047585415474
"AC002563.1",-10.9700834820956,0.018871406457014
"AC002985.1",-30.042359887273,-0.0647413093711039
"AC002996.1",-8.11676915468047,0.0324121222395142
"AC003001.2",-9.27609664663573,0.0297793877491652
"AC003002.2",-6.75868697404087,-0.0380422063094269
"AC003002.3",-23.1061627469847,0.162279010692359
"AC003005.2",-5.70070106077244,-0.114775474811063
"AC003006.1",-4.7930602993456,0.143709449500619
"AC003029.1",0.968030696940376,0.027085314018449
"AC003075.1",-6.67750626393358,-0.0376853824341498
"AC003102.1",1.9685269469788,0.0694941137657166
"AC003666.1",-3.58284179488114,0.06664072754344
"AC003681.1",-6.02495515397463,-0.0167076392204189
"AC003682.1",-17.4467676157529,0.0382376630976383
"AC003684.1",-13.5334977370664,-0.0382214611296275
"AC003688.1",2.85609702757438,0.013308016228952
"AC003956.1",-29.6925729447964,-0.122247150555596
"AC003965.1",-4.39639525694007,0.0780614075105565
"AC003988.1",-25.8160903438409,-0.204015975182254
"AC003991.1",-53.8958543314579,-0.203450408562928
"AC004009.1",0.594171562855628,-0.111092346982197
"AC004014.1",-22.016472500937,-0.146841572211168
"AC004034.1",-14.309802996672,0.0148453712270681
"AC004039.1",-49.868745867292,-0.176824521139408
"AC004052.1",-6.74631981208848,0.213016804326667
"AC004053.1",-29.0179259703789,0.141920714000722
"AC004054.1",-59.0272206517512,-0.015821588440027
"AC004057.1",10.8426183572256,0.0130556007238511
"AC004069.1",-5.98891363071518,-0.0244199421029665
"AC004076.1",-48.9528712125132,0.0228320276515816
"AC004076.2",-16.8074833303862,-0.159932157723424
"AC004112.1",-11.0699341292572,-0.240115451368564
"AC004130.1",-6.95785450114247,-0.0537998332944876
"AC004147.2",-42.7304814712001,0.00613867861640621
"AC004148.2",-8.23498829501421,0.195481395534642
"AC004156.1",-26.4752863261883,-0.17300448671772
"AC004158.1",-36.4108737987671,-0.00247187693892373
"AC004160.1",-10.0898068630043,0.0579611155498263
"AC004217.2",-34.0029570936844,0.0597422297177524
"AC004221.1",-0.119044365560312,-0.133426672108744
"AC004224.2",-31.0298867194874,-0.139574159874497
"AC004231.1",0.307892772957581,0.0666495015510718
"AC004232.2",-39.7342661609059,-0.00675759168948486
"AC004233.1",-1.57224268149961,-0.0966500356592237
"AC004233.3",-1.57214479309538,-0.00803958392511394
"AC004233.4",-4.37859655768629,-0.0417892371028497
"AC004241.1",-1.54964161667415,-0.139521357333181
"AC004253.1",-17.386764359316,-0.1614146349643
"AC004257.1",2.61344537134634,-0.0316280871291584
"AC004381.1",-26.6851670789419,-0.0170595178201882
"AC004386.1",9.75390928670734,0.298056008605702
"AC004408.1",-7.75037118192587,0.0724653036017591
"AC004448.4",-1.37126294637657,-0.0745650389178435
"AC004448.5",-5.05136509123855,-0.0559923130692819
"AC004453.1",52.011736621017,0.504495035611624
"AC004466.1",2.85785491532472,0.0129353491993175
"AC004470.1",-27.7228334085051,0.0112738374261853
"AC004471.1",-26.8102126644451,-0.0544431417899295
"AC004477.1",-4.62530655395711,-0.0357111065935002
"AC004477.3",1.3485276011099,0.0673233235073413
"AC004485.1",-9.69078785975288,-0.00168465883444869
"AC004494.1",-4.09197382297052,0.0412673036295398
"AC004520.1",-4.43268180002267,0.0296893383610256
"AC004522.2",-8.17703817607618,-0.126884357306592
"AC004528.1",-22.4713553475269,-0.192542201280388
"AC004540.1",-15.6459126867117,0.0092455444467244
"AC004540.2",-7.60037572732256,0.015641528666616
"AC004551.1",2.548707013895,-0.033658755271337
"AC004554.2",-38.3297509492687,0.0148772229501333
"AC004594.1",-43.4563218311775,0.1337236517751
"AC004596.1",-4.47951806246918,0.190558830166729
"AC004597.1",-39.7356733745952,0.0411879534303527
"AC004656.1",-14.4877531211545,0.0315839848415819
"AC004672.1",-4.56517145386576,-0.130004940836316
"AC004686.1",-2.58954718313328,0.0396056023038679
"AC004687.1",2.38271403547632,0.228182807284094
"AC004690.2",-16.6291112381333,0.0713136112176806
"AC004692.2",-7.89059023861694,-0.0116265233905322
"AC004696.1",-7.11281304157533,-0.167490343564213
"AC004696.2",-0.104103051040449,-0.0792325412829746
"AC004702.1",-28.8818715212684,-0.0840809981498808
"AC004704.1",-4.56530679338576,-0.207416033072227
"AC004771.4",1.67211061585266,-0.0309568227316203
"AC004784.1",-36.6476512430104,0.109859956970299
"AC004801.1",-24.8856645366174,0.125589075329268
"AC004801.4",-2.05817878410735,-0.0729816137051268
"AC004803.1",-4.15276982625825,0.0586317580350912
"AC004805.1",-14.7052507878846,0.0643761058350261
"AC004812.2",-12.4265014077004,0.0212219777715924
"AC004816.1",-60.7908533302893,0.0890104635058313
"AC004817.1",-5.1037692564458,-0.0163428420154377
"AC004817.4",-8.65101453671694,0.124648485567899
"AC004825.2",-0.448073351627201,0.0268919321346837
"AC004828.1",-32.522067894584,0.124040342485921
"AC004830.1",-23.8262493867803,-0.0881193536213907
"AC004834.1",-9.54202050774135,0.184683993790049
"AC004835.1",-3.3599141987424,0.35769989600406
"AC004836.1",-27.758834269341,0.0804307666144303
"AC004839.1",-3.59995873081158,0.329871728433933
