network,module,enrichment,correlation
signum0.0861_minSize8,mediumpurple,1,0.00913870008844832
signum0.0861_minSize8,paleturquoise,1,0.373636541386791
signum0.0861_minSize8,grey60,1,-0.149124935937226
signum0.0861_minSize8,deeppink1,1,-0.068948207440306
signum0.0861_minSize8,lightblue3,1,-0.0228983167144777
signum0.0861_minSize8,indianred2,1,0.0173590113152076
signum0.0861_minSize8,firebrick2,1,-0.255865423098527
signum0.0861_minSize8,green3,1,-0.0148772154155289
signum0.0861_minSize8,yellow,0.15245069371457,0.0018795955031817
signum0.0861_minSize8,lightcyan,9.37369487617817e-12,0.681487323737148
signum0.0861_minSize8,darkolivegreen1,1,0.450592054880788
signum0.0861_minSize8,blue3,1,0.0316746032731144
signum0.0861_minSize8,darkolivegreen,1,-0.0784700798555882
signum0.0861_minSize8,tan3,1,-0.204149828167273
signum0.0861_minSize8,powderblue,1,0.0797446993696362
signum0.0861_minSize8,darkturquoise,8.78723968865869e-08,0.643242068175131
signum0.0861_minSize8,tomato,1,-0.132337256882329
signum0.0861_minSize8,royalblue3,1,-0.116507096580853
signum0.0861_minSize8,palevioletred,1,-0.183463634623362
signum0.0861_minSize8,violet,1,0.0322802204795381
signum0.0861_minSize8,darkgoldenrod4,1,-0.0422827833318332
signum0.0861_minSize8,moccasin,1,0.120267931934196
signum0.0861_minSize8,magenta2,1,0.163761965679182
signum0.0861_minSize8,lightpink1,1,-0.128620155599523
signum0.0861_minSize8,chocolate3,1,0.579890516501173
signum0.0861_minSize8,pink,1,-0.21005809882207
signum0.0861_minSize8,yellowgreen,1,-0.0356163126793021
signum0.0861_minSize8,salmon,1,-0.0571559679512616
signum0.0861_minSize8,green,1,-0.139952611501271
signum0.0861_minSize8,aliceblue,0.0431298713313398,0.34835249332325
signum0.0861_minSize8,lightgreen,1,-0.123905703443794
signum0.0861_minSize8,lightyellow,1,-0.144614695269196
signum0.0861_minSize8,cornflowerblue,1,0.0473093371176775
signum0.0861_minSize8,navajowhite3,1,0.0142707410731144
